4106289

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       6.13
2                       5.70
4                       5.71
8                       6.36
16                      7.92
32                      8.06
64                      6.47
128                     7.06
256                     7.39
512                     7.35
1024                    8.66
2048                    8.66
4096                   16.31
8192                   21.39
16384                  28.92
32768                  33.75
65536                  47.94
131072                 79.47
262144                180.57
