4105095

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      12.89
2                       7.17
4                       6.76
8                      10.54
16                      8.35
32                      7.91
64                      7.35
128                     7.22
256                     8.18
512                     8.42
1024                    9.39
2048                    8.81
4096                   21.26
8192                   22.91
16384                  25.82
32768                  35.92
65536                  52.19
131072                 83.70
262144                194.66
