4107703

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       8.17
2                       5.85
4                       9.32
8                       8.14
16                      8.93
32                      9.81
64                     10.28
128                     8.26
256                     7.41
512                     9.16
1024                    9.86
2048                   11.91
4096                   18.14
8192                   20.18
16384                  25.63
32768                  39.15
65536                  51.48
131072                 86.19
262144                204.73
