4104844

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       9.46
2                      13.40
4                      10.21
8                       6.84
16                      8.27
32                      6.62
64                      8.39
128                     8.21
256                     9.22
512                     9.46
1024                   11.50
2048                   13.82
4096                   32.93
8192                   37.15
16384                  42.14
32768                  42.12
65536                  49.32
131072                 85.90
262144                192.21
