4105459

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       6.99
2                       7.35
4                       6.70
8                       9.61
16                      9.12
32                      8.97
64                      9.11
128                     7.41
256                     7.71
512                     7.97
1024                   10.48
2048                   11.98
4096                   16.23
8192                   22.04
16384                  28.29
32768                  32.76
65536                  50.58
131072                 89.60
262144                180.56
