
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.31
2                       2.30
4                       2.27
8                       2.28
16                      2.26
32                      2.27
64                      2.29
128                     2.30
256                     3.01
512                     3.03
1024                    3.12
2048                    3.30
4096                    3.43
8192                    3.88
16384                   4.68
32768                   9.15
65536                  15.60
131072                 22.49
262144                 36.34
