
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.60
2                       2.32
4                       2.30
8                       2.30
16                      2.30
32                      2.30
64                      2.32
128                     2.34
256                     3.02
512                     3.10
1024                    3.20
2048                    3.31
4096                    3.49
8192                    3.93
16384                   4.74
32768                   9.19
65536                  15.92
131072                 22.79
262144                 36.65
