
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.33
2                       2.31
4                       2.29
8                       2.29
16                      2.29
32                      2.29
64                      2.30
128                     2.32
256                     3.01
512                     3.04
1024                    3.13
2048                    3.29
4096                    3.45
8192                    3.88
16384                   4.69
32768                   9.20
65536                  15.62
131072                 22.50
262144                 36.33
