
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.66
2                       2.34
4                       2.32
8                       2.32
16                      2.31
32                      2.32
64                      2.33
128                     2.35
256                     3.04
512                     3.08
1024                    3.16
2048                    3.34
4096                    3.48
8192                    3.95
16384                   4.74
32768                   9.17
65536                  15.91
131072                 22.82
262144                 36.58
