
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.36
2                       2.35
4                       2.32
8                       2.33
16                      2.32
32                      2.32
64                      2.33
128                     2.34
256                     3.06
512                     3.08
1024                    3.15
2048                    3.34
4096                    3.51
8192                    3.94
16384                   4.79
32768                   9.20
65536                  15.92
131072                 22.83
262144                 36.61
