4105376

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.71
2                       6.37
4                       7.67
8                       6.98
16                      6.70
32                      6.96
64                      7.30
128                     7.40
256                     7.86
512                     8.18
1024                    7.85
2048                    8.89
4096                   16.56
8192                   22.12
16384                  43.07
32768                  61.79
65536                  57.00
131072                 92.28
262144                234.47
