4105005

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       6.54
2                       7.21
4                       5.99
8                       8.62
16                     10.95
32                      8.81
64                      7.79
128                     7.60
256                     7.82
512                     8.25
1024                    9.05
2048                    9.04
4096                   17.61
8192                   22.17
16384                  25.70
32768                  38.42
65536                  64.55
131072                 94.90
262144                203.38
