4107626

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       8.53
2                       6.95
4                       7.60
8                       8.90
16                     11.99
32                      8.24
64                      9.83
128                     7.85
256                    10.07
512                     9.68
1024                    8.05
2048                   10.78
4096                   21.10
8192                   25.46
16384                  25.93
32768                  39.23
65536                  52.25
131072                 92.16
262144                198.72
