4105614

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       6.37
2                       7.89
4                       6.50
8                       8.51
16                      7.62
32                      8.03
64                      6.43
128                     8.13
256                     7.89
512                     9.54
1024                    9.36
2048                    9.64
4096                   17.07
8192                   21.03
16384                  27.27
32768                  32.59
65536                  49.48
131072                 79.33
262144                186.92
