4105255

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       7.45
2                       6.42
4                       6.31
8                       6.58
16                      6.57
32                      6.94
64                      6.70
128                     8.01
256                     7.97
512                     7.94
1024                    8.19
2048                    8.73
4096                   16.35
8192                   18.97
16384                  23.76
32768                  33.11
65536                  48.02
131072                 77.39
262144                218.17
